"localidade","cases","death","date"
"Honduras","9","","2020/3/19 17:7"
"Guatemala","8","1","2020/3/19 17:7"
"Nigeria","8","","2020/3/19 17:7"
"Gibraltar","8","","2020/3/19 17:7"
"Guam","8","","2020/3/19 17:7"
"Montenegro","8","","2020/3/19 17:7"
"Channel Islands","7","","2020/3/19 17:7"
"DRC","7","","2020/3/19 17:7"
"Ghana","7","","2020/3/19 17:7"
"Kenya","7","","2020/3/19 17:7"
"Trinidad and Tobago","7","","2020/3/19 17:7"
"Ethiopia","6","","2020/3/19 17:7"
"Mongolia","6","","2020/3/19 17:7"
"Puerto Rico","6","","2020/3/19 17:7"
"Seychelles","6","","2020/3/19 17:7"
"French Polynesia","5","","2020/3/19 17:7"
"Guyana","4","1","2020/3/19 17:7"
"Aruba","4","","2020/3/19 17:7"
"Equatorial Guinea","4","","2020/3/19 17:7"
"Curaçao","3","","2020/3/19 17:7"
"Gabon","3","","2020/3/19 17:7"
"Kyrgyzstan","3","","2020/3/19 17:7"
"Mauritius","3","","2020/3/19 17:7"
"Mayotte","3","","2020/3/19 17:7"
"St. Barth","3","","2020/3/19 17:7"
"Saint Martin","3","","2020/3/19 17:7"
"Tanzania","3","","2020/3/19 17:7"
"Sudan","2","1","2020/3/19 17:7"
"Barbados","2","","2020/3/19 17:7"
"Benin","2","","2020/3/19 17:7"
"Bermuda","2","","2020/3/19 17:7"
"Greenland","2","","2020/3/19 17:7"
"Liberia","2","","2020/3/19 17:7"
"Mauritania","2","","2020/3/19 17:7"
"Namibia","2","","2020/3/19 17:7"
"New Caledonia","2","","2020/3/19 17:7"
"Saint Lucia","2","","2020/3/19 17:7"
"U.S. Virgin Islands","2","","2020/3/19 17:7"
"Zambia","2","","2020/3/19 17:7"
"Cayman Islands","1","1","2020/3/19 17:7"
"Nepal","1","","2020/3/19 17:7"
"Antigua and Barbuda","1","","2020/3/19 17:7"
"Bahamas","1","","2020/3/19 17:7"
"Bhutan","1","","2020/3/19 17:7"
"CAR","1","","2020/3/19 17:7"
"Congo","1","","2020/3/19 17:7"
"Djibouti","1","","2020/3/19 17:7"
"Gambia","1","","2020/3/19 17:7"
"Guinea","1","","2020/3/19 17:7"
"Vatican City","1","","2020/3/19 17:7"
"Montserrat","1","","2020/3/19 17:7"
"St. Vincent Grenadines","1","","2020/3/19 17:7"
"Sint Maarten","1","","2020/3/19 17:7"
"Somalia","1","","2020/3/19 17:7"
"Suriname","1","","2020/3/19 17:7"
"Eswatini","1","","2020/3/19 17:7"
"Togo","1","","2020/3/19 17:7"
"Total:","218,788","8,943","2020/3/19 17:7"
